Question,Option A,Option B,Option C,Option D,Correct Answer,Marks,Time Limit
"What is the capital of India?","Mumbai","Delhi","Chennai","Kolkata","B","1","60"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn","B","1","45"
"What is 15 + 25?","35","40","45","50","B","1","30"
"Who wrote the book 'Gitanjali'?","Rabindranath Tagore","Premchand","R.K. Narayan","Sarojini Naidu","A","2","90"
"Which is the largest ocean on Earth?","Atlantic","Indian","Arctic","Pacific","D","1","60"
"What is the chemical symbol for Gold?","Go","Gd","Au","Ag","C","1","45"
"In which year did India gain independence?","1945","1946","1947","1948","C","2","120"
"What is the square root of 144?","10","11","12","13","C","1","30"
"Which programming language is known as the 'mother of all languages'?","C","Java","Python","Assembly","A","2","90"
"What is the currency of Japan?","Yuan","Won","Yen","Ringgit","C","1","45"
